# Server version 0.08 running on hannans-air:8123
# Game ID: 2
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Sat Mar 21 23:55:10 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on hannans-air
# Player 2: Player-1, 'XXXXXXXXX', running on hannans-air
START Player-0 XXXXXXXXX
START Player-1 XXXXXXXXX
INIT 0 true 2,1,1,4,4,1,0,3,1,1,0,2,1,7,3,1
INIT 1 true 5,4,2,4,2,5,3,7,0,0,0,0,0,0,0,0
PIT 0 14
PIT 1 5
PIT 0 2
PIT 1 3
PIT 0 0
PIT 1 5
PIT 0 11
PIT 1 2
PIT 0 13
PIT 1 11
PIT 0 9
PIT 1 12
PIT 0 1
PIT 1 7
PIT 0 10
PIT 1 13
PIT 0 6
PIT 1 9
PIT 0 13
PIT 1 14
PIT 0 12
PIT 1 6
PIT 0 5
PIT 1 12
PIT 0 15
PIT 1 13
GAMEOVER WINNER 1
# Game ended: Sat Mar 21 23:55:10 EDT 2015
