# Server version 0.08 running on wpa076010.wireless.mcgill.ca:8123
# Game ID: 6
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Fri Mar 27 04:40:22 EDT 2015
# Player 1: Player-0, 'random', running on wpa076010.wireless.mcgill.ca
# Player 2: Player-1, 'XXXXXXXXX', running on wpa076010.wireless.mcgill.ca
START Player-0 random
START Player-1 XXXXXXXXX
INIT 0 true 4,1,1,1,1,1,4,4,0,3,1,3,0,1,2,5
INIT 1 true 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PIT 0 0
PIT 1 5
PIT 0 12
PIT 1 4
PIT 0 5
PIT 1 5
PIT 0 15
PIT 1 12
PIT 0 2
PIT 1 6
PIT 0 12
PIT 1 7
PIT 0 3
PIT 1 9
PIT 0 7
PIT 1 8
PIT 0 13
PIT 1 13
PIT 0 11
PIT 1 14
PIT 0 8
PIT 1 12
PIT 0 1
PIT 1 15
PIT 0 14
PIT 1 14
PIT 0 10
PIT 1 9
PIT 0 15
PIT 1 5
PIT 0 11
PIT 1 14
PIT 0 4
PIT 1 7
PIT 0 5
PIT 1 11
PIT 0 6
PIT 1 9
PIT 0 0
PIT 1 11
GAMEOVER WINNER 1
# Game ended: Fri Mar 27 04:40:22 EDT 2015
