# Server version 0.08 running on hannans-air:8123
# Game ID: 14
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Fri Mar 27 05:32:32 EDT 2015
# Player 1: Player-0, 'random', running on hannans-air
# Player 2: Player-1, 'XXXXXXXXX', running on hannans-air
START Player-0 random
START Player-1 XXXXXXXXX
INIT 0 true 1,3,5,2,1,1,2,1,2,0,2,1,1,6,1,3
INIT 1 true 0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
PIT 0 8
PIT 1 10
PIT 0 3
PIT 1 12
PIT 0 9
PIT 1 15
PIT 0 3
PIT 1 8
PIT 0 14
PIT 1 9
PIT 0 1
PIT 1 11
PIT 0 0
PIT 1 10
PIT 0 3
PIT 1 12
PIT 0 5
PIT 1 15
PIT 0 1
PIT 1 0
PIT 0 7
PIT 1 3
PIT 0 7
PIT 1 4
PIT 0 8
PIT 1 7
PIT 0 5
PIT 1 8
PIT 0 13
PIT 1 9
PIT 0 6
GAMEOVER WINNER 0
# Game ended: Fri Mar 27 05:32:32 EDT 2015
