# Server version 0.08 running on wpa076016.wireless.mcgill.ca:8123
# Game ID: 34
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Sun Mar 29 20:27:58 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on wpa076016.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on wpa076016.wireless.mcgill.ca
START Player-0 XXXXXXXXX
START Player-1 random
INIT 0 true 4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
INIT 1 true 5,9,0,2,0,6,6,4,0,0,0,0,0,0,0,0
PIT 0 5
PIT 1 1
PIT 0 2
PIT 1 7
PIT 0 4
PIT 1 10
PIT 0 0
PIT 1 0
PIT 0 8
PIT 1 2
PIT 0 5
PIT 1 9
PIT 0 2
PIT 1 10
PIT 0 14
PIT 1 15
PIT 0 0
PIT 1 11
PIT 0 9
PIT 1 1
PIT 0 11
PIT 1 8
PIT 0 11
PIT 1 9
PIT 0 14
PIT 1 10
PIT 0 12
PIT 1 15
PIT 0 15
PIT 1 0
PIT 0 1
PIT 1 11
PIT 0 5
PIT 1 14
PIT 0 12
PIT 1 12
PIT 0 1
PIT 1 1
PIT 0 9
PIT 1 15
PIT 0 6
GAMEOVER WINNER 0
# Game ended: Sun Mar 29 20:28:40 EDT 2015
