# Server version 0.08 running on wpa076016.wireless.mcgill.ca:8123
# Game ID: 114
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 05:40:18 EDT 2015
# Player 1: Player-0, 'random', running on wpa076016.wireless.mcgill.ca
# Player 2: Player-1, 'XXXXXXXXX', running on wpa076016.wireless.mcgill.ca
START Player-0 random
START Player-1 XXXXXXXXX
INIT 0 true 1,0,2,2,2,1,0,4,3,1,4,1,3,2,3,3
INIT 1 true 2,5,3,8,4,4,0,6,0,0,0,0,0,0,0,0
PIT 0 13
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 5
PIT 1 3
PIT 0 7
PIT 1 4
PIT 0 14
PIT 1 5
PIT 0 6
PIT 1 6
PIT 0 7
PIT 1 0
PIT 0 12
PIT 1 1
PIT 0 8
PIT 1 4
PIT 0 1
PIT 1 5
PIT 0 10
PIT 1 6
PIT 0 12
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 5
PIT 1 0
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 1
PIT 0 8
PIT 1 1
PIT 0 9
PIT 1 0
PIT 0 10
PIT 1 1
PIT 0 11
PIT 1 0
PIT 0 12
PIT 1 1
PIT 0 13
PIT 1 2
GAMEOVER WINNER 1
# Game ended: Mon Mar 30 05:40:18 EDT 2015
