# Server version 0.08 running on web112098.wireless.mcgill.ca:8123
# Game ID: 219
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 10:16:24 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on web112098.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on web112098.wireless.mcgill.ca
START Player-0 XXXXXXXXX
START Player-1 random
INIT 0 true 1,2,2,2,1,0,1,2,3,2,3,5,2,1,3,2
INIT 1 true 7,7,5,2,4,1,4,2,0,0,0,0,0,0,0,0
PIT 0 1
PIT 1 2
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 10
PIT 0 4
PIT 1 3
PIT 0 6
PIT 1 12
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 4
PIT 0 4
PIT 1 10
PIT 0 0
PIT 1 14
PIT 0 1
PIT 1 12
PIT 0 0
PIT 1 8
PIT 0 0
PIT 1 9
PIT 0 1
PIT 1 10
PIT 0 4
PIT 1 5
PIT 0 0
GAMEOVER WINNER 0
# Game ended: Mon Mar 30 10:16:25 EDT 2015
