# Server version 0.08 running on localhost:8123
# Game ID: 369
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 20:07:16 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on localhost
# Player 2: Player-1, 'random', running on localhost
START Player-0 XXXXXXXXX
START Player-1 random
INIT 0 true 3,2,3,1,3,1,0,4,2,4,1,2,3,1,1,1
INIT 1 true 4,6,3,5,4,2,2,6,0,0,0,0,0,0,0,0
PIT 0 0
PIT 1 2
PIT 0 1
PIT 1 1
PIT 0 0
PIT 1 6
PIT 0 1
PIT 1 4
PIT 0 1
PIT 1 3
PIT 0 0
PIT 1 0
PIT 0 7
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 6
PIT 0 4
PIT 1 4
PIT 0 2
GAMEOVER WINNER 0
# Game ended: Mon Mar 30 20:07:16 EDT 2015
